Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.0233,-0.0095,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0225,-0.0095,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0225,-0.0147,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0214,-0.0147,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0205,-0.0147,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0196,-0.0147,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0215,-0.0147,-0.0441,0.0,0.0,-0.0311,-0.0185
-0.0215,-0.0147,-0.0441,0.0,0.0,-0.0311,-0.0147
-0.0185,-0.0559,-0.1564,0.0,0.0,-0.0483,-0.0539
-0.0178,-0.0559,-0.1564,0.0,0.0,-0.0483,-0.0539
-0.0178,-0.0593,-0.1564,0.0,0.0,-0.0483,-0.0539
-0.0186,-0.0149,-0.083,0.0,0.0,-0.0349,-0.0308
-0.0186,-0.0195,-0.083,0.0,0.0,-0.0349,-0.0308
-0.0186,-0.0238,-0.083,0.0,0.0,-0.0349,-0.0308
-0.0179,-0.0238,-0.083,0.0,0.0,-0.0349,-0.0308
-0.0179,-0.0303,-0.083,0.0,0.0,-0.0349,-0.0308
-0.0173,-0.0303,-0.083,0.0,0.0,-0.0349,-0.0308
-0.0167,-0.0303,-0.083,0.0,0.0,-0.0349,-0.0308
